{section}

{table-plus}
|| User || Type || Enabled || Allowed ||
|marshajo | U | True | False |
|delacruz | U | True | False |
|sancheza | U | True | False |
|127000370 | U | True | False |
|127000269 | U | True | False |
|127002113 | U | True | False |
|127001843 | U | True | False |
|127002244 | U | True | False |
|rappaij | U | True | False |
|hurerf | U | True | False |
|rudomets | U | True | False |
|kwongj | U | True | False |
|dubeya | U | True | False |
|hodgsoni | U | True | False |
|marcusn | U | True | False |
|flavink | U | True | False |
|guzmank | U | True | False |
|willism | U | True | False |
|krugerk | U | True | False |
|girona | U | True | False |
|chind | U | True | False |
|gouderp | U | True | False |
|newmanm | U | True | False |
|williams | U | True | False |
|disneyj | U | True | False |
|rayd | U | True | False |
|cantym | U | True | False |
|haym | U | True | False |
|eatonc | U | True | False |
|kollers | U | True | False |
|reddyhar | U | True | False |
|visu | U | True | False |
|parvap | U | True | False |
|chebolv | U | True | False |
|bishtm | U | True | False |
|svcunix | U | True | False |
|greene | U | True | False |
|powart | U | True | False |
|lydonm | U | True | False |
|marshajo | U | True | False |
|delacruz | U | True | False |
|sancheza | U | True | False |
|127000370 | U | True | False |
|127000269 | U | True | False |
|127002113 | U | True | False |
|127001843 | U | True | False |
|127002244 | U | True | False |
|rappaij | U | True | False |
|hurerf | U | True | False |
|rudomets | U | True | False |
|kwongj | U | True | False |
|dubeya | U | True | False |
|hodgsoni | U | True | False |
|marcusn | U | True | False |
|flavink | U | True | False |
|guzmank | U | True | False |
|willism | U | True | False |
|krugerk | U | True | False |
|girona | U | True | False |
|chind | U | True | False |
|gouderp | U | True | False |
|newmanm | U | True | False |
|williams | U | True | False |
|disneyj | U | True | False |
|rayd | U | True | False |
|cantym | U | True | False |
|haym | U | True | False |
|eatonc | U | True | False |
|kollers | U | True | False |
|reddyhar | U | True | False |
|visu | U | True | False |
|parvap | U | True | False |
|chebolv | U | True | False |
|bishtm | U | True | False |
|svcunix | U | True | False |
|svcunix | U | True | False |
|greene | U | True | False |
|powart | U | True | False |
|lydonm | U | True | False |
|marshajo | U | True | False |
|delacruz | U | True | False |
|sancheza | U | True | False |
|127000370 | U | True | False |
|127000269 | U | True | False |
|127002113 | U | True | False |
|127001843 | U | True | False |
|127002244 | U | True | False |
|rappaij | U | True | False |
|hurerf | U | True | False |
|svcunix | U | True | False |
|rudomets | U | True | False |
|kwongj | U | True | False |
|dubeya | U | True | False |
|hodgsoni | U | True | False |
|marcusn | U | True | False |
|flavink | U | True | False |
|guzmank | U | True | False |
|willism | U | True | False |
|krugerk | U | True | False |
|girona | U | True | False |
|chind | U | True | False |
|williams | U | True | False |
|disneyj | U | True | False |
|holtc | U | True | False |
|rayd | U | True | False |
|cantym | U | True | False |
|haym | U | True | False |
|eatonc | U | True | False |
|jbuser3 | U | True | False |
|jbuser4 | U | True | False |
|jbuser5 | U | True | False |
|jbuser6 | U | True | False |
|jbuser7 | U | True | False |
|jbuser8 | U | True | False |
|gillr | U | True | False |
|gouderp | U | True | False |
|greene | U | True | False |
|powart | U | True | False |
|lydonm | U | True | False |
|marshajo | U | True | False |
|delacruz | U | True | False |
|sancheza | U | True | False |
|127000370 | U | True | False |
|127000269 | U | True | False |
|127002113 | U | True | False |
|127001843 | U | True | False |
|127002244 | U | True | False |
|rappaij | U | True | False |
|hurerf | U | True | False |
|svcunix | U | True | False |
|rudomets | U | True | False |
|kwongj | U | True | False |
|dubeya | U | True | False |
|hodgsoni | U | True | False |
|marcusn | U | True | False |
|flavink | U | True | False |
|guzmank | U | True | False |
|willism | U | True | False |
|krugerk | U | True | False |
